"Symbol","Exit date","Exit Price","Volume","P/L","P/L %"
"SINA","22/09/2026","151.837","165","4094.475","19.54%"
"PYRA","22/09/2026","56.393","185","656.195","6.71%"
"LOTS","22/09/2026","34.225","1405","18780.635","64.09%"
"PYRA","20/09/2026","51.989","1010","-1142.31","-2.13%"
"SINA","17/09/2026","142.506","165","2554.86","12.19%"
"PYRA","16/09/2026","54.231","185","256.225","2.62%"
"SINA","14/09/2026","116.496","115","-1654.85","-10.99%"
"PYRA","11/09/2026","56.793","185","730.195","7.47%"
"SINA","01/09/2026","120.053","115","-1245.795","-8.28%"
"KRNK","22/08/2026","15.962","5155","3113.62","3.93%"
"MEMF","21/07/2026","15.163","2675","1760.15","4.54%"
"MEMF","21/07/2026","15.989","2675","3969.7","10.23%"
"LUXR","10/07/2026","2.151","3695","757.475","10.53%"
"LUXR","09/07/2026","2.071","3695","461.875","6.42%"
"LUXR","04/07/2026","2.036","3695","332.55","4.62%"
"SPHX","21/06/2026","10.055","4800","408","0.85%"
"LOTS","18/06/2026","33.069","925","632.7","2.11%"
"SPHX","18/06/2026","10.417","1760","531.52","2.99%"
"SPHX","18/06/2026","10.477","1760","637.12","3.58%"
"OASI","13/06/2026","4.828","5135","8590.855","53.03%"
"SPHX","08/06/2026","10.027","4795","273.315","0.57%"
"PYRA","03/06/2026","55.462","740","65.12","0.16%"
"LOTS","02/06/2026","33.499","3205","5349.145","5.24%"
"LUXR","31/05/2026","2.2","46535","7166.39","7.53%"
"PYRA","20/05/2026","54.219","845","10204.22","28.65%"
"SINA","13/05/2026","117.089","410","18091.25","60.48%"
"PYRA","08/05/2026","62.79","690","4730.64","12.26%"
"PYRA","07/05/2026","56.96","1915","264.27","0.24%"
"LOTS","29/04/2026","35.058","200","967","16.00%"
"OASI","24/04/2026","4.673","4835","1605.22","7.65%"
"MEMF","22/04/2026","13.863","595","3044.615","58.51%"
"OASI","21/04/2026","4.495","4825","743.05","3.55%"
"SPHX","16/04/2026","9.796","5905","13109.1","29.30%"
"LOTS","14/04/2026","32.638","190","458.85","7.99%"
"OASI","10/04/2026","4.528","4825","902.275","4.31%"
"NILE","07/04/2026","18.986","495","1222.155","14.95%"
"PYRA","06/04/2026","66.307","250","2717","19.60%"
"KRNK","06/04/2026","17.733","2650","1939.8","4.31%"
"KRNK","06/04/2026","17.903","2650","2390.3","5.31%"
