"Symbol","Entry Date","Entry Price","Exit Date","Exit Price","Volume","P/L","P/L %","Duration (Days)"
"SINA","03/09/2026","127.022","22/09/2026","151.837","330","6649.335","15.86%","19"
"PYRA","06/09/2026","52.846","22/09/2026","56.393","555","1642.615","5.60%","16"
"PYRA","13/09/2026","53.12","20/09/2026","51.989","1010","-1142.31","-2.13%","7"
"SINA","31/08/2026","130.886","14/09/2026","116.496","230","-2900.645","-9.64%","14"
"KRNK","20/08/2026","15.358","22/08/2026","15.962","5155","3113.62","3.93%","2"
"MEMF","18/07/2026","14.505","21/07/2026","15.989","5350","5729.85","7.38%","3"
"LUXR","03/07/2026","1.946","10/07/2026","2.151","11085","1551.9","7.19%","7"
"SPHX","07/06/2026","9.97","21/06/2026","10.055","9595","681.315","0.71%","14"
"LOTS","19/05/2026","32.385","18/06/2026","33.069","925","632.7","2.11%","30"
"SPHX","17/06/2026","10.115","18/06/2026","10.477","3520","1168.64","3.28%","1"
"PYRA","04/04/2026","55.374","03/06/2026","55.462","740","65.12","0.16%","60"
"LOTS","18/04/2026","31.83","02/06/2026","33.499","3205","5349.145","5.24%","45"
"LUXR","01/05/2026","2.046","31/05/2026","2.2","46535","7166.39","7.53%","30"
"PYRA","09/03/2026","55.934","08/05/2026","62.79","690","4730.64","12.26%","60"
"PYRA","23/03/2026","56.822","07/05/2026","56.96","1915","264.27","0.24%","45"
"LOTS","15/03/2026","30.223","29/04/2026","35.058","580","1968.68","11.23%","45"
"OASI","10/03/2026","4.341","24/04/2026","4.673","14485","3250.545","5.17%","45"
"PYRA","20/02/2026","55.439","06/04/2026","66.307","730","5208.68","12.87%","45"
"KRNK","05/04/2026","17.001","06/04/2026","17.903","5300","4330.1","4.81%","1"
"SPHX","31/01/2026","9.42","02/03/2026","10.671","7730","9242.78","12.69%","30"
"KRNK","19/02/2026","16.989","26/02/2026","17.348","3210","1152.39","2.11%","7"
"NILE","10/01/2026","20.648","24/02/2026","20.606","1110","-46.62","-0.20%","45"
